filename_city,median,mean,max,min,IQR_1,IQR_2,CI_lower,CI_upper,number_clusters
RanchoCucamonga,0.216576386,0.255353949,0.982373491,0.039127339,0.137425991,0.324750925,0.202812481,0.230340292,526
LasVegas,0.252001235,0.280719596,1.057543569,0.049540122,0.161191147,0.366519521,0.229661233,0.274341238,188
Atlanta,0.267262844,0.285894729,0.809228281,0.044303382,0.176472274,0.382331463,0.253355499,0.28117019,433
Nashville,0.270901936,0.300496182,0.520455757,0.146359689,0.209497825,0.364401134,0.219723435,0.322080437,22
Ontario,0.275574784,0.290481227,0.931774278,0.033502938,0.162058915,0.388372805,0.261331703,0.289817865,490
Arlington,0.294579849,0.300390035,0.578670954,0.101326067,0.212380723,0.37142308,0.273396206,0.315763492,125
SanDiego,0.29621656,0.321451331,0.976854344,0.032903081,0.171214656,0.439910649,0.286607982,0.305825139,1452
Seattle,0.314506213,0.329031374,0.824110984,0.024033994,0.21576297,0.438185126,0.305471919,0.323540506,1154
Stockton,0.317199429,0.350667811,1.086591958,0.032239219,0.200531672,0.471312951,0.302229312,0.332169545,656
CapeCoral,0.324764638,0.361091597,1.023569651,0.061833453,0.209516641,0.48476328,0.299908455,0.349620821,251
GardenGrove,0.356456943,0.376514232,1.091248685,0.077720406,0.217517451,0.499125762,0.315858466,0.397055421,98
HuntingtonBeach,0.366184048,0.379965247,0.960457349,0.045948845,0.261717008,0.492303236,0.34472178,0.387646317,250
Knoxville,0.366962706,0.377875336,0.80258483,0.055291711,0.230569066,0.506493242,0.32323604,0.410689371,70
OverlandPark,0.369286011,0.442309747,2.812965012,0.075046066,0.207634481,0.60356484,0.343935337,0.394636686,542
Detroit,0.380523456,0.388948358,1.006884735,0.041289306,0.273007356,0.511715039,0.351002792,0.41004412,135
Columbus,0.387151974,0.407593959,2.458553764,0.042777284,0.278302558,0.513215566,0.374860268,0.39944368,960
Tampa,0.387668673,0.438142454,1.760734049,0.087447276,0.242760559,0.558399371,0.348364499,0.426972848,173
Durham,0.389792521,0.445473945,1.007073999,0.067890638,0.261068792,0.599452823,0.340494907,0.439090135,86
SanJose,0.392284667,0.418731923,1.378388915,0.047663513,0.249529698,0.557423988,0.382401018,0.402168316,1915
Minneapolis,0.393761998,0.421704356,1.484054124,0.082832591,0.304523687,0.509199774,0.386182167,0.401341829,1860
AuroraCO,0.407075562,0.43405014,1.671381926,0.074257119,0.29218026,0.540031488,0.384795171,0.429355954,353
OklahomaCity,0.418222324,0.413022062,0.883962075,0.059551021,0.292704608,0.537843199,0.378977956,0.457466691,79
Baltimore,0.418344335,0.426864828,1.669110602,0.033950218,0.307471092,0.531381314,0.405879137,0.430809534,780
Louisville,0.419089511,0.433106263,0.953109003,0.089196048,0.331625795,0.553896342,0.394713396,0.443465626,183
DesMoines,0.426664961,0.436489723,0.83123622,0.05777694,0.318273018,0.553528905,0.392951651,0.460378271,92
StLouis,0.433601982,0.451085012,1.114059248,0.06322309,0.300977293,0.582428658,0.416843777,0.450360187,537
Pittsburgh,0.440794521,0.455716676,1.116130777,0.065245825,0.320305321,0.571473488,0.418507082,0.463081959,299
Honolulu,0.443451161,0.472078129,1.235583613,0.040216516,0.277983736,0.629222702,0.396676084,0.490226238,120
Sacramento,0.447091935,0.456360685,1.218049231,0.038060452,0.282200786,0.619115087,0.432255437,0.461928432,874
Milwaukee,0.459370819,0.473457626,1.48616612,0.056220182,0.355286098,0.584839883,0.437691689,0.481049949,268
Austin,0.473826977,0.557540373,1.21269747,0.138997271,0.383292879,0.730242675,0.409361842,0.538292111,57
SiouxFalls,0.494672357,0.606646348,3.285406065,0.120752755,0.375043175,0.749840001,0.458279337,0.531065376,361
Albuquerque,0.511489472,0.523211361,1.011471291,0.095023883,0.343629463,0.682818997,0.425189614,0.59778933,33
Buffalo,0.544124001,0.718789822,2.689495566,0.108399376,0.337779803,1.022638651,0.508283157,0.579964844,735
Anaheim,0.545113042,0.54779071,1.117527121,0.07538054,0.407795179,0.681155366,0.523616604,0.566609479,360
Portland,0.551624202,0.536917868,1.244451249,0.037274581,0.363407791,0.699914569,0.539502514,0.563745891,1412
NewYork,0.558408099,0.560500899,1.398833749,0.051773452,0.397639111,0.717423206,0.550100929,0.566715269,2982
Greensboro,0.560807582,0.872339679,3.891571081,0.184024623,0.515638533,0.633371878,-0.205570023,1.327185187,10
ColoradoSprings,0.575478075,0.58434925,3.68116983,0.072818917,0.113099523,0.877050279,0.510188992,0.640767158,206
Rochester,0.589448318,0.606592922,1.303402081,0.056945077,0.431896521,0.731322441,0.564004516,0.61489212,298
Madison,0.621114735,0.643711362,1.571972546,0.148578381,0.437399974,0.819797172,0.588760325,0.653469145,279
WashingtonDC,0.625621044,0.605468418,1.181280942,0.041565751,0.481120843,0.743724938,0.613995111,0.637246977,1131
Houston,0.71501947,0.717060538,1.737211001,0.062134096,0.529956612,0.901601963,0.704788782,0.725250158,2636
SantaRosa,0.718237697,0.744064825,1.200431708,0.321975172,0.59835288,0.895542665,0.593020785,0.843454608,20
Denver,0.866752259,0.840867963,1.417991992,0.073237808,0.742430869,0.985674371,0.856818208,0.876686311,1792
Oakland,0.880645865,0.890014309,1.376785609,0.521495408,0.787018754,0.99842362,0.860035086,0.901256644,220
LosAngeles,0.88209252,0.925017055,2.172561053,0.126538163,0.494863411,1.323384379,0.870440858,0.893744183,6128
Providence,0.927626736,0.921931844,1.466294073,0.557778965,0.815238524,1.001568254,0.903941997,0.951311474,165
SanFrancisco,0.996933892,1.00392746,1.445458765,0.660289267,0.927968696,1.079545029,0.991283107,1.002584677,1564
